序号,vid,uid,弹幕
395,476,708,好尴尬啊
396,600,857,不可能跳过的
397,856,489,我语文这样背的
398,918,446,太厉害了！
399,596,412,很臭的
400,755,437,太吵了，听不清楚
401,198,870,大哥：哎呀忘了调反转了
402,634,209,感动
403,887,932,何同学三杀！
404,799,77,所以跟前面有什么关系
405,841,939,BGM太乱了
406,294,554,高考还有90天，我还有希望吗？现在就去补
407,40,860,美国站忽局
408,759,862,唐仁
409,469,652,我很不对劲
410,286,38,土鳖
411,685,406,懂我都意思吗？
412,922,271,这个是真的我两台手机同时点结果配送费和包装费贵了两元
413,333,319,最底端不是药剂科吗？
414,559,966,期待
415,968,535,超有效！
416,845,860,我们妖引以为鉴
417,16,62,我就喜欢兔子耍流氓
418,843,495,刘老师在哪里
419,495,19,坤哥nb
420,692,514,好厉害！
421,684,205,《假钱合集》
422,686,6,中国牛逼
423,563,946,别骂了别骂了
424,150,573,期待
425,277,112,草，说实话我觉得这个方法怪麻烦的，可以直接悟答案的啊
426,69,494,可以实现不等于即将实现
427,954,673,说涨价的你赶紧出去，看也白看
428,903,689,卷呗
429,467,938,n b
430,242,193,大佬nb
431,110,239,又双叒叕
432,354,809,云南震惊
433,321,201,哈哈哈哈哈哈哈哈哈哈哈哈
434,99,141,下岗再就业
435,888,626,正片开始
436,418,230,我一个四川人听着一脸懵逼
437,383,652,镇尸钱
438,350,364,学霸666
439,201,781,恐龙妈妈提笔忘字
440,678,388,哈哈哈
441,598,415,2
442,137,410,慢慢不就回归标题了，说什么说
443,209,392,辛苦了
444,837,151,我感觉我要掐死我自己
445,51,180,买不起
446,524,944,不错不错
447,371,167,女的长的好像孙莉啊
448,617,904,南方妹子普遍胸不大
449,223,624,而且会害怕你抢走他们的位子
450,127,610,致敬！
451,599,963,？？？
452,255,459,老爸用的就是这种，真希望别用上
453,116,842,过期了
454,927,52,表头，在5 3里可以改装成任意电流表和电压表
455,850,36,鲶鱼老师这么温柔我都不习惯了
456,114,805,笑死了
457,853,248,1
458,568,614,111
459,2,526,哈哈哈哈哈哈哈
460,167,906,辛苦啦，
461,31,924,怕了怕了怕了怕了怕了怕了怕了怕了
462,666,473,致敬
463,594,963,夸克现场教学
464,307,212,浪费
465,404,76,怕
466,164,312,一人一块钱 领导蹲十年
467,525,129,剑三er缓缓浮出水面
468,538,249,4
469,349,342,1
470,56,841,蛋糕劵
471,498,278,致敬
472,702,617,不白不富也不美啊
473,517,520,不好意思，东北教育不是问题
474,15,537,阿里欠我钱
475,184,603,正常人，可能一辈子都看不到拆这玩意儿，用到的人，都可能没见过
476,129,453,没币了
477,870,114,懂了，这就白嫖，否则算行贿
478,99,978,说的我好爽
479,505,542,球是不稳定平衡点？
480,45,188,1234
481,553,632,笑
482,208,923,下一步，上交还是判刑，哈哈哈
483,300,375,02:57
484,545,781,有点难
485,984,891,哈哈哈哈哈哈哈哈哈
486,746,784,出现了 绿波电龙
487,110,181,我觉得是贾冰带的风气
488,255,605,1
489,190,803,因为这个视频关注了up
490,853,895,致敬
491,519,850,白嫖白嫖
492,943,137,泡菜大半都是中国进口的
493,919,891,6
494,505,198,自报家门
495,523,706,已经不得行了，导师要论文，我还没写，完犊子了
496,43,957,《不为人知》
497,94,360,致敬
498,160,745,冈布奥
499,940,673,好家伙这个逻辑速度跟不上了
500,455,531,因为我们这里是温带季风气候，夏天下雨，，而且大多都是农民只能挣得起蔬菜
501,470,508,猝 不 及 防
502,469,386,哈哈哈哈哈哈哈哈
503,244,657,你不是一个人
504,627,713,哈哈哈哈哈哈
505,736,470,张三终于升职了
506,464,288,pal
507,499,702,植物大战僵尸
508,920,856,滚吧
509,256,373,草是我不配我连这个都写不出
510,839,947,我是汉室皇族我骄傲了吗
511,715,501,哈哈哈哈哈啊哈哈哈
512,255,693,咱多大地方  人多大地方...
513,4,527,3天 72小时 一周7天 平均每天10小时 恩!每周3天
514,10,689,会上b站
515,317,757,你想过没有，好些理性思维强的人因为英语被刷下来
516,815,794,妙啊
517,922,611,致敬
